FIPS,expected population,net migrants,migration rate
06045,89033,-944,-5.399999999999998
06047,241663,17314,96.5
06049,9278,394,105.6
06051,14056,206,97.3
06053,455172,-34643,-83.1
06055,128546,8619,98.7
06057,90546,7902,153.79999999999995
06059,3131517,-102684,-30.0
06061,261987,86288,407.2
06063,20377,-440,11.9
06065,1719515,491817,355.8
06067,1335253,90662,96.2
06069,59861,-3970,-65.5
06071,1924629,133993,90.8
06073,3086162,29417,25.100000000000005
06075,804473,3762,172.5
06077,628640,62848,131.9
06079,252473,17678,115.8
06081,762763,-40994,-27.499999999999996
06083,432487,-5100,5.1
06085,1869386,-77922,-18.5
06087,275288,-11691,-30.8
06089,164233,12725,82.10000000000002
06091,3408,-189,-32.600000000000016
06093,43572,1275,66.9
06095,427032,-10967,-31.9
06097,478437,6850,24.7
06099,494896,23917,60.8
06101,86048,9198,139.0
06103,57377,6230,149.1
06105,12621,1124,198.2
06107,424024,24249,76.1
06109,53019,2304,55.7
06111,827348,2074,14.9
06113,182633,19275,174.20000000000005
06115,67019,5518,111.3
08001,394571,50807,179.70000000000005
08003,16484,-912,-62.3
08005,537314,36908,113.9
08007,10405,1656,178.5
08009,4230,-454,-135.49999999999997
08011,5994,571,122.7
08013,289546,4975,54.89999999999999
08015,16076,1693,115.3
08017,2222,-391,-196.7
08019,9717,-666,-27.8
08021,8948,-619,-64.0
08023,3686,-137,-66.30000000000001
08025,5496,405,161.7
08027,3449,773,296.2
08029,27831,3080,145.4
08031,627287,-22191,38.1
08033,1885,166,129.70000000000002
08035,208723,76525,613.1
08037,49434,3090,155.29999999999995
08039,20930,2058,217.8
08041,570213,53501,120.1
08043,45651,1300,9.9
08045,50096,6583,212.3
08047,5042,375,88.40000000000002
08049,13335,1472,168.00000000000003
08051,15019,280,164.09999999999997
08053,827,6,145.20000000000005
08055,7494,-776,-240.6
08057,1557,-169,-37.7
08059,552995,-18635,-27.1
08061,1556,-168,-182.5
08063,8190,106,41.3
08065,8640,-1273,-167.70000000000005
08067,46507,4847,168.10000000000005
08069,269555,29807,139.99999999999997
08071,15278,311,44.3
08073,6103,-619,-98.9
08075,21096,1673,93.79999999999998
08077,122024,24676,248.1
08079,799,-98,-122.59999999999998
08081,14233,-429,-3.199999999999997
08083,24395,1174,32.7
08085,34997,6303,200.3
08087,29393,-1073,-62.90000000000002
08089,20803,-1872,-134.79999999999998
08091,3806,594,325.2999999999999
08093,15407,730,116.0
08095,4546,-113,-47.90000000000001
08097,15959,1151,230.8
08099,15460,-2844,-250.2
08101,147409,12700,89.79999999999998
08103,6327,328,130.6
08105,12858,-807,-82.3
08107,21172,2284,163.50000000000003
08109,6325,-185,-36.4
08111,583,105,506.5
08113,7320,31,114.70000000000003
08115,2607,-238,-142.0
08117,26732,1298,197.1
08119,21560,1681,132.0
08121,4887,-94,24.399999999999995
08123,206168,47870,289.3
08125,10167,-113,-5.7
09001,933351,-14290,28.699999999999992
09003,883859,11980,42.7
09005,183378,5820,66.1
09007,158257,6931,53.1
09009,848838,15209,33.7
09011,266936,6989,33.5
09013,141061,11227,147.39999999999995
09015,112108,6144,79.69999999999997
10001,135950,26696,205.3
10003,531350,8669,27.7
10005,160125,37002,228.0
12001,229157,18658,234.7
12003,24001,3143,157.1
12005,155197,13609,110.6
12007,26829,1824,80.49999999999999
12009,471072,71649,185.6
12011,1700011,60940,83.5
12013,13149,1512,120.0
12015,129834,29473,277.40000000000003
12017,105227,35317,389.7
12019,149280,41539,363.9
12021,263386,59073,260.0
12023,58124,9496,176.29999999999995
12027,34239,917,73.7
12029,13752,2647,205.4
12031,839900,28000,44.39999999999999
12033,306348,-8184,-36.1
12035,48408,47110,1465.7
12037,9773,1813,330.8
12039,48114,-1305,-48.0
12041,14758,2128,166.29999999999995
12043,10419,2553,371.6
12045,14326,1616,165.19999999999996
12047,13958,969,72.80000000000003
12049,30017,-2000,-57.1
12051,40649,-969,-27.9
12053,121246,51140,600.9
12055,83538,15302,183.00000000000003
12057,1075202,161175,204.0
